score,content,label,content_len,content_clean,content_token,cluster,tsne_x,tsne_y
2,수 많은 배송 했는데 한진택배가 최악이네요 배송 사정 있어 요청 남겨놧는데 오전 퇴근 시간 어쩌규 하시고 넘에집 보관에 박스는 어떻게 배송 됫는지 비오기 전 배송인데 다 쩔어 있고 심하네요...,0,108,수 많은 배송 했는데 한진택배가 최악이네요 배송 사정 있어 요청 남겨놧는데 오전 퇴근 시간 어쩌규 하시고 넘에집 보관에 박스는 어떻게 배송 됫는지 비오기 전 배송인데 다 쩔어 있고 심하네요,수 많다 배송 하다 한진택배 최악 요 배송 사정 있다 요청 남기다 놧 늘다 오전 퇴근 시간 어쩌규 하다 넘다 집 보관 박스 어떻다 배송 됫는 비 오기 전 배송 쩔다 있다 심하다,0,-0.6445467,-0.032128584
2,아기가 기어다녀서 구매했는데 제가 잘못 착용시킨건지 자꾸 말려서 사용안하게 되네요ㅠㅜ,0,47,아기가 기어다녀서 구매했는데 제가 잘못 착용시킨건지 자꾸 말려서 사용안하게 되네요,아기 기어 다니다 구매 하다 제 잘못 착용 시키다 건지다 자꾸 말리다 사용 하다 되다,0,0.5098842,0.20180222
2,재구매 항상주문하는데 이번에.바뀐용기가.별로네요 ㅜ 여행때 가져갔는데 기온차 때문인지.얼음도같이있었는데.뚜껑이계속열리고 저번.유리용기가좋았어요 공장이전하시고 대량생산해서 그런지 깍두기 크기도.매번다르고 이래저래 실망했어요,0,123,재구매 항상주문하는데 이번에 바뀐용기가 별로네요 여행때 가져갔는데 기온차 때문인지 얼음도같이있었는데 뚜껑이계속열리고 저번 유리용기가좋았어요 공장이전하시고 대량생산해서 그런지 깍두기 크기도 매번다르고 이래저래 실망했어요,재다 항상 주문 하다 이번 바뀌다 용기 별로 여행 때 가져가다 기온 차 때문 얼음 도 있다 뚜껑 계속 열리다 저번 유리 용기 좋다 공장 이전 하다 대량생산 하다 그렇다 깍두기 크기 매번 다르다 실망하다,0,-0.70755035,0.37817672
2,난 분명 중 시켰는데 소로 왔네요.,0,19,난 분명 중 시켰는데 소로 왔네요,난 분명 중 시키다 소로 오다,3,-1.130715,-0.7510451
5,좋아요..재구마함,1,9,좋아요 재구마함,좋다 재다 함,3,-2.052473,1.7114407
1,손목에 힘주면 그냥 빠져요 ㅋㅋㅋ 못쓰겠어요^^ 고무제질 사야겠어요 ㅎㅎ,0,40,손목에 힘주면 그냥 빠져요 못쓰겠어요 고무제질 사야겠어요,손목 힘주다 그냥 빠지다 쓰다 고무 질 사다,3,0.32663265,-0.35667303
5,다좋아요 두껍고 ^^ 다만 화학냄새가나서 밖에두고 냄새빼고 쓰려고요^^;;,1,41,다좋아요 두껍고 다만 화학냄새가나서 밖에두고 냄새빼고 쓰려고요,좋다 두껍다 다만 화학 냄새 가나 밖 에두 냄새 빼다 쓰다,3,0.01872815,-1.3342172
5,수전에 설치 하였는데 향도 은은하고 물도 깨끗해진거같아서 너무조아요~,1,38,수전에 설치 하였는데 향도 은은하고 물도 깨끗해진거같아서 너무조아요,수전 설치 하다 향 은은하다 물 깨끗해지다 같다 좋다,0,1.492824,0.8262196
2,제품 설명서도 안들은 물품이 어디 있 습니까,0,24,제품 설명서도 안들은 물품이 어디 있 습니까,제품 설명 서도 안 물품 어디 있다,3,2.025707,-2.5366971
5,아직써보진않았지만배송빠르고잘왔습니다^-^,1,22,아직써보진않았지만배송빠르고잘왔습니다,써다 보다 않다 배송 빠르다 오다,2,0.49977523,3.631757
5,빈티지 생각보다 많이 좋아요,1,15,빈티지 생각보다 많이 좋아요,빈티 생각 좋다,3,2.3555431,2.4525678
4,ㅎㅎ안늘어놔요~혹시나해서 연장 후크 구입했네요,1,25,안늘어놔요 혹시나해서 연장 후크 구입했네요,늘어놓다 혹시 하다 연장 후크 구입 하다,0,0.3564591,0.56372154
2,비닐두장에 감싸왔는데 깻잎 절반 터져서 박스안이 난리났어요,0,32,비닐두장에 감싸왔는데 깻잎 절반 터져서 박스안이 난리났어요,비닐 장 감싸다 오다 깻잎 절반 터지다 박스 안이 난리 나다,3,-1.5868833,-1.5305018
2,발등부분이 뻑뻑하고 앞볼이 좁아 발이 아프고 접착부분이 잘떨어짐,0,35,발등부분이 뻑뻑하고 앞볼이 좁아 발이 아프고 접착부분이 잘떨어짐,발등 부분 뻑뻑 앞볼 좁다 발 아프다 접착 부분 떨어지다,3,0.92936325,-0.8715169
5,사용하기편하고 예뻐요,1,11,사용하기편하고 예뻐요,사용 하다 편하다 예쁘다,0,1.1715529,0.7326903
1,최악이네요 안삽니다,0,10,최악이네요 안삽니다,최악 요 사다,3,0.33181083,0.765185
2,"너무얇아서 걸레질이 힘들어요, ..",0,19,너무얇아서 걸레질이 힘들어요,얇다 걸레질 힘들다,3,1.3008854,-1.7856653
5,"하이패스 단말기 타 사이트랑 비교했을 때, 가장 싸요. 하이패스 단말기를 구입해야겠다는 생각이 들어서 인터넷 사이트를 검색하다가 구입하게 되었습니다.제가 알아본 바로는 타 사이트랑 비교했을 때, 여기가 제일 싼 것 같아요!",1,124,하이패스 단말기 타 사이트랑 비교했을 때 가장 싸요 하이패스 단말기를 구입해야겠다는 생각이 들어서 인터넷 사이트를 검색하다가 구입하게 되었습니다 제가 알아본 바로는 타 사이트랑 비교했을 때 여기가 제일 싼 것 같아요,하이패스 단말기 타 사이트 비교 하다 때 가장 싸다 하이패스 단말기 구입 하다 생각 들어서다 인터넷 사이트 검색 하다 구입 하다 되어다 제 알아보다 바로 타 사이트 비교 하다 때 여기 제일 싸다 것 같다,0,-0.0020784303,0.6383084
5,거품형이라서 편하게 잘쓰고있어요!,1,18,거품형이라서 편하게 잘쓰고있어요,거품 편하다 잘쓰다,3,2.3271527,2.5548
5,재구매 자주 주문해서 먹는데 맛있어요,1,20,재구매 자주 주문해서 먹는데 맛있어요,재다 자주 주문 하다 먹다 맛있다,1,-2.5800848,0.75081706
5,포장좋고 맛도 좋습니다,1,12,포장좋고 맛도 좋습니다,포장 좋다 맛 좋다,3,1.6184447,2.9110634
1,"맛도 없고, 질기고, 냄새도 나고 진짜 별로에요.",0,27,맛도 없고 질기고 냄새도 나고 진짜 별로에요,맛 없다 질 기고 냄새 나다 진짜 별로,3,0.025855452,-1.8201976
1,"별로예요. 부품도 한 번애 안오고, 나무가 휘어서 구멍도 안 맞고. 무엇보다 부품이 있어도 남자 둘이서 조립했는데 정말 어렵고 힘들다는거에요. 다시는 거래 ㅏㄴ 할 거 같아요.",0,98,별로예요 부품도 한 번애 안오고 나무가 휘어서 구멍도 안 맞고 무엇보다 부품이 있어도 남자 둘이서 조립했는데 정말 어렵고 힘들다는거에요 다시는 거래 할 거 같아요,별로 부품 하다 번애 오다 나무 휘 구멍 안 맞다 무엇 부품 있다 남자 둘이서 조립 하다 정말 어렵다 힘들다 다시다 거래 하다 거 같다,0,0.48905203,-0.8292489
2,완전별로네요...실망입니다 반품하고싶네요,0,22,완전별로네요 실망입니다 반품하고싶네요,완전 별로 실망 이다 반품 하다,0,0.22076824,-2.2885392
2,오배송에 불친절 난분명유산균우유를주문했는데ㅡㅡ 그냥우유가옴 더기분나쁜건ㅡㅡ그냥 다음번에 제대로보내주세요라고얘기하니 가격은같습니다만죄송합니다ㅡㅡ 이말이더기분나빴음 그냥 귀찮아도 마트서사먹어야겠네요,0,108,오배송에 불친절 난분명유산균우유를주문했는데 그냥우유가옴 더기분나쁜건 그냥 다음번에 제대로보내주세요라고얘기하니 가격은같습니다만죄송합니다 이말이더기분나빴음 그냥 귀찮아도 마트서사먹어야겠네요,배송 불친절 난 분명 유산균 우유 주문 하다 우유 옴 더기 나쁘다 그냥 다음 번 제대로 보내다 얘기 가격 같다 죄송하다 말 더기 나쁘다 그냥 귀찮다 마트 사먹다,0,-0.7463214,-0.555655
1,배송빠르고 제품 사진이랑 똑같아요,0,18,배송빠르고 제품 사진이랑 똑같아요,배송 빠르다 제품 사진 똑같다,2,0.16771396,3.2087615
2,그냥그렇다네요...,0,10,그냥그렇다네요,그냥 그렇다,3,-0.8792866,-3.0878196
5,파츠가 작아서 많이 올려야할거같아용,1,19,파츠가 작아서 많이 올려야할거같아용,파츠 작다 올리다 야하다 같다,3,2.8918018,-1.3650944
4,잘 쓰고 있어요~ 무난하니 잘 쓰고 있어요~근데 제가 생각했던 느낌은 아니라서 생각보다 자주하진 않아요 ㅋ줄이 얇아서 그런지 티가 별로 안나서 조금 아쉽네요,1,87,잘 쓰고 있어요 무난하니 잘 쓰고 있어요 근데 제가 생각했던 느낌은 아니라서 생각보다 자주하진 않아요 줄이 얇아서 그런지 티가 별로 안나서 조금 아쉽네요,자다 쓰다 있다 무난 하다 자다 쓰다 있다 제 생각 하다 느낌 아니다 생각 자주 하다 않다 줄이다 얇다 그렇다 티 별로 안나 조금 아쉽다,0,-0.110178836,1.1454953
5,"기존에 있던 매트 사이즈에 맞추려니, 늘 애매하게 안맞았는데 요런게 있었네요~ 좋아요ㅎㅎㅎ 틈새공략! 만족해요 :)",1,64,기존에 있던 매트 사이즈에 맞추려니 늘 애매하게 안맞았는데 요런게 있었네요 좋아요 틈새공략 만족해요,기존 있다 매트 사이즈 맞추다 늘 애매하다 맞다 요런 있다 좋다 틈새 공략 만족하다,3,0.2706266,0.5421198
5,방진이 잘 되서 좋아요,1,12,방진이 잘 되서 좋아요,방진 자다 되다 좋다,3,0.9550899,0.42308354
1,아무리 제주도라지만 배송이 느려터져서 다 녹아서 왔네요,0,30,아무리 제주도라지만 배송이 느려터져서 다 녹아서 왔네요,제주도 라지 배송 느리다 터지다 녹다 오다,3,-1.4949938,-1.8933247
2,새는 것은 어쩔 수 없는듯요. 입고 바지에 그대로 다 새네요.,0,34,새는 것은 어쩔 수 없는듯요 입고 바지에 그대로 다 새네요,새다 것 수 없다 듯 입다 바지 그대로 새다,3,0.644015,-0.6245391
2,천이 너무 미끄러워요,0,11,천이 너무 미끄러워요,천이 미끄럽다,3,0.92875695,-3.113454
1,배터리 커버가 열기 너무 힘드네요~~ 좀만 힘주면 부러짐 ㅡㅡㅋ. 애들이 하기에는 무리가 있네요,0,53,배터리 커버가 열기 너무 힘드네요 좀만 힘주면 부러짐 애들이 하기에는 무리가 있네요,배터리 커버 열기 힘드다 좀 힘주다 부러지다 애 하다 무리 있다,0,0.29930755,-0.4885857
2,재구매 그냥 그저 그렇고 별로 튼튼하지도 않고 얇고 특히 꼭 한개가 휘어서 오고 정확히 균형이 안맞아서 까딱까딱대고 전체적으로 맘에 안듭니다. 아 참 그리고 기둥 홈파인게 전혀다른데가 파인데가 있네요 균일하지 않고...,0,122,재구매 그냥 그저 그렇고 별로 튼튼하지도 않고 얇고 특히 꼭 한개가 휘어서 오고 정확히 균형이 안맞아서 까딱까딱대고 전체적으로 맘에 안듭니다 아 참 그리고 기둥 홈파인게 전혀다른데가 파인데가 있네요 균일하지 않고,재다 그냥 그렇다 별로 튼튼하다 않다 얇다 꼭 개 휘 오다 정확하다 균형 맞다 대고 전체 맘 안듭니 차다 기둥 홈파다 전혀 데 파이다 있다 균일하다 않다,3,-0.18784042,-2.8881838
2,제품은 아주좋습니다,0,10,제품은 아주좋습니다,제품 아주 좋다,3,0.8398788,2.4518611
5,기존에 하나 쓰고있는데 자석 붙일 자리가 모자라 추가 구매합니다. 깔끔해서 좋아요,1,45,기존에 하나 쓰고있는데 자석 붙일 자리가 모자라 추가 구매합니다 깔끔해서 좋아요,기존 하나 쓰다 자석 붙이다 자리 모자라 추가 구매 하다 깔끔하다 좋다,0,-0.47447774,2.184901
5,세균제거는 잘모르겠고 분사럭이 강해서 조절잘못하면 금방 다 쓸거 같네요.,1,40,세균제거는 잘모르겠고 분사럭이 강해서 조절잘못하면 금방 다 쓸거 같네요,세균 제거 모르다 분사럭 강하다 조절 잘못 금방 쓸다 같다,3,1.0744716,0.05612056
5,저 사고 좋아서 엄마사드렷어요,1,16,저 사고 좋아서 엄마사드렷어요,저 사고 좋다 엄마 사드 렷,3,0.9519577,2.0349865
1,허벅지 사이즈 재서 보냈는데 엄청 작아서 애기 허벅지에 자국이 났어요...ㅠㅠ,0,43,허벅지 사이즈 재서 보냈는데 엄청 작아서 애기 허벅지에 자국이 났어요,허벅지 사이즈 재다 보내다 작다 애기 허벅지 자국 나다,3,1.3316869,-1.3719133
5,아주아주굿굿궁,1,7,아주아주굿굿궁,굿굿궁,3,0.28014034,0.09099774
1,이건 아니네요. 힘 좀 주고 밀라치면 작동 안됨. ㅜㅜ,0,30,이건 아니네요 힘 좀 주고 밀라치면 작동 안됨,것 아니다 힘 좀 주다 밀 치면 작동 안되다,3,0.102251805,-1.386185
5,오자마자 사용했는데 인그로운이 있던 쪽이 가려워서 잠결에 긁었는지 제품이 닿자마자 후끈거림이 있었어요 없던쪽은 아무렇지도 않았어요 계속 마사지하다보면 스크럽제가 녹아서 부드러워지더라구요 아직 오래안써봐서 한달 뒤에 후기를 다시한번 남기도록 하겠습니다!,1,140,오자마자 사용했는데 인그로운이 있던 쪽이 가려워서 잠결에 긁었는지 제품이 닿자마자 후끈거림이 있었어요 없던쪽은 아무렇지도 않았어요 계속 마사지하다보면 스크럽제가 녹아서 부드러워지더라구요 아직 오래안써봐서 한달 뒤에 후기를 다시한번 남기도록 하겠습니다,자마자 사용 하다 인그 있다 쪽 가다 워 잠결 긁다 제품 닿다 후끈 거림 있다 없다 쪽 아무렇다 않다 계속 마사지 하다 보다 스크럽제 녹다 부드럽다 써다 보다 달 뒤 후기 다시 한번 남다 하다,0,2.097211,-0.08972392
2,생각모다 마감도 별로구요~잠금 해제 버튼쪽이 너무 퍽퍽하네요.그립갑도 안좋구요~고민고민 하다가 그냥 쓸려고 합니다. 자주 안쓰는 방쪽이라 그냥 쓸려고 합니다.,0,88,생각모다 마감도 별로구요 잠금 해제 버튼쪽이 너무 퍽퍽하네요 그립갑도 안좋구요 고민고민 하다가 그냥 쓸려고 합니다 자주 안쓰는 방쪽이라 그냥 쓸려고 합니다,생각 모 마감 별로 구 잠그다 해제 버튼 쪽 퍽퍽 하다 그리다 갑 안좋다 고민 고민 하다 그냥 쓸리다 하다 자주 쓰다 방쪽 그냥 쓸리다 하다,0,0.02336852,-1.151946
