content,score,label,cluster,tsne_x,tsne_y,실제감성,군집명
"너무얇아서 걸레질이 힘들어요, ..",2,0,3,1.3008854,-1.7856653,부정,일반감성형
"하이패스 단말기 타 사이트랑 비교했을 때, 가장 싸요. 하이패스 단말기를 구입해야겠다는 생각이 들어서 인터넷 사이트를 검색하다가 구입하게 되었습니다.제가 알아본 바로는 타 사이트랑 비교했을 때, 여기가 제일 싼 것 같아요!",5,1,0,-0.0020784303,0.6383084,긍정,제품후기형
거품형이라서 편하게 잘쓰고있어요!,5,1,3,2.3271527,2.5548,긍정,일반감성형
재구매 자주 주문해서 먹는데 맛있어요,5,1,1,-2.5800848,0.75081706,긍정,식품카테고리
포장좋고 맛도 좋습니다,5,1,3,1.6184447,2.9110634,긍정,일반감성형
"맛도 없고, 질기고, 냄새도 나고 진짜 별로에요.",1,0,3,0.025855452,-1.8201976,부정,일반감성형
"별로예요. 부품도 한 번애 안오고, 나무가 휘어서 구멍도 안 맞고. 무엇보다 부품이 있어도 남자 둘이서 조립했는데 정말 어렵고 힘들다는거에요. 다시는 거래 ㅏㄴ 할 거 같아요.",1,0,0,0.48905203,-0.8292489,부정,제품후기형
완전별로네요...실망입니다 반품하고싶네요,2,0,0,0.22076824,-2.2885392,부정,제품후기형
오배송에 불친절 난분명유산균우유를주문했는데ㅡㅡ 그냥우유가옴 더기분나쁜건ㅡㅡ그냥 다음번에 제대로보내주세요라고얘기하니 가격은같습니다만죄송합니다ㅡㅡ 이말이더기분나빴음 그냥 귀찮아도 마트서사먹어야겠네요,2,0,0,-0.7463214,-0.555655,부정,제품후기형
배송빠르고 제품 사진이랑 똑같아요,1,0,2,0.16771396,3.2087615,부정,배송중심
그냥그렇다네요...,2,0,3,-0.8792866,-3.0878196,부정,일반감성형
파츠가 작아서 많이 올려야할거같아용,5,1,3,2.8918018,-1.3650944,긍정,일반감성형
잘 쓰고 있어요~ 무난하니 잘 쓰고 있어요~근데 제가 생각했던 느낌은 아니라서 생각보다 자주하진 않아요 ㅋ줄이 얇아서 그런지 티가 별로 안나서 조금 아쉽네요,4,1,0,-0.110178836,1.1454953,긍정,제품후기형
"기존에 있던 매트 사이즈에 맞추려니, 늘 애매하게 안맞았는데 요런게 있었네요~ 좋아요ㅎㅎㅎ 틈새공략! 만족해요 :)",5,1,3,0.2706266,0.5421198,긍정,일반감성형
방진이 잘 되서 좋아요,5,1,3,0.9550899,0.42308354,긍정,일반감성형
아무리 제주도라지만 배송이 느려터져서 다 녹아서 왔네요,1,0,3,-1.4949938,-1.8933247,부정,일반감성형
새는 것은 어쩔 수 없는듯요. 입고 바지에 그대로 다 새네요.,2,0,3,0.644015,-0.6245391,부정,일반감성형
천이 너무 미끄러워요,2,0,3,0.92875695,-3.113454,부정,일반감성형
배터리 커버가 열기 너무 힘드네요~~ 좀만 힘주면 부러짐 ㅡㅡㅋ. 애들이 하기에는 무리가 있네요,1,0,0,0.29930755,-0.4885857,부정,제품후기형
재구매 그냥 그저 그렇고 별로 튼튼하지도 않고 얇고 특히 꼭 한개가 휘어서 오고 정확히 균형이 안맞아서 까딱까딱대고 전체적으로 맘에 안듭니다. 아 참 그리고 기둥 홈파인게 전혀다른데가 파인데가 있네요 균일하지 않고...,2,0,3,-0.18784042,-2.8881838,부정,일반감성형
제품은 아주좋습니다,2,0,3,0.8398788,2.4518611,부정,일반감성형
기존에 하나 쓰고있는데 자석 붙일 자리가 모자라 추가 구매합니다. 깔끔해서 좋아요,5,1,0,-0.47447774,2.184901,긍정,제품후기형
세균제거는 잘모르겠고 분사럭이 강해서 조절잘못하면 금방 다 쓸거 같네요.,5,1,3,1.0744716,0.05612056,긍정,일반감성형
저 사고 좋아서 엄마사드렷어요,5,1,3,0.9519577,2.0349865,긍정,일반감성형
허벅지 사이즈 재서 보냈는데 엄청 작아서 애기 허벅지에 자국이 났어요...ㅠㅠ,1,0,3,1.3316869,-1.3719133,부정,일반감성형
아주아주굿굿궁,5,1,3,0.28014034,0.09099774,긍정,일반감성형
이건 아니네요. 힘 좀 주고 밀라치면 작동 안됨. ㅜㅜ,1,0,3,0.102251805,-1.386185,부정,일반감성형
오자마자 사용했는데 인그로운이 있던 쪽이 가려워서 잠결에 긁었는지 제품이 닿자마자 후끈거림이 있었어요 없던쪽은 아무렇지도 않았어요 계속 마사지하다보면 스크럽제가 녹아서 부드러워지더라구요 아직 오래안써봐서 한달 뒤에 후기를 다시한번 남기도록 하겠습니다!,5,1,0,2.097211,-0.08972392,긍정,제품후기형
생각모다 마감도 별로구요~잠금 해제 버튼쪽이 너무 퍽퍽하네요.그립갑도 안좋구요~고민고민 하다가 그냥 쓸려고 합니다. 자주 안쓰는 방쪽이라 그냥 쓸려고 합니다.,2,0,0,0.02336852,-1.151946,부정,제품후기형
조립설명서가 없어요(없어도 조립은 간단하게 할 수 있음). 조립후 테이블이 안정감있지는 않아요. 원목 표면이 거칠어서 닦기가 불편합니다.,2,0,3,0.39964795,-0.32498264,부정,일반감성형
알이 굵고 상태도 좋고 맛도 좋아요,4,1,3,1.377508,3.0361502,긍정,일반감성형
9일이나 지나서 받았네여~~~ㅎ,2,0,3,-0.70724255,0.10072012,부정,일반감성형
너무불편해요 발가락사이사이가너무아파요 편한다는말거짓말인듯하네요,1,0,0,0.9308593,-0.0127807055,부정,제품후기형
삼일만에 고장났는지 측정할땨마다 다름,1,0,3,-0.8205559,-1.7810266,부정,일반감성형
늘 사용했던 제품인데 저렴하게 잘 산거 같아요 만족,5,1,0,2.0041757,2.0291028,긍정,제품후기형
무게감은 있지만 가성비 갑입니다,5,1,3,-0.39746583,1.7308917,긍정,일반감성형
배송 제품 다 좋았어요 ㅋㅋㅋ,4,1,3,0.49738875,2.3740096,긍정,일반감성형
원재질이랑 거의 흡사합니다~ 매우만족합니다~,5,1,3,-0.77123976,2.6961207,긍정,일반감성형
좋아요 특히나 패디파츠 강추요,5,1,3,3.181952,-1.3959848,긍정,일반감성형
길냥이용 길냥이용 으로 구매했어요 아주 잘먹네요 사료와 섞어줘두 잘먹구요 계속 구매할께요 저렴한 가격에 잘샀네요,5,1,1,-0.68138105,1.2254338,긍정,식품카테고리
이렇게 늦을 줄 알았다면 다른데서 시켰을 거에요.,2,0,3,-0.7852654,-1.2373575,부정,일반감성형
맛 괜찬아요..인후염으로 고생해서 구매해봤어요~,5,1,0,-0.43183422,0.8799108,긍정,제품후기형
좋아요~~~~~~재구매의사잇어요,5,1,3,-2.278519,2.057796,긍정,일반감성형
효과 전혀없네요 갠치 샀나 싶네요,2,0,3,3.1212628,-0.6209097,부정,일반감성형
요즘 모기가 많아서 두개 구매했는데 일주일동안 1마리 통안에 들어갔네요 정말 효과가 있는지 궁금하네요,2,0,0,-0.5073596,0.5203156,부정,제품후기형
점착력이 구려보였는데 막상 딱 붙이고 하니까 아주 잘 붙고 떼기도 쉽네요. 집 전체를 작업중인데 부족하면 무조건 여기서 재구매입니다.,5,1,3,0.30700904,0.44388154,긍정,일반감성형
오자마자 씻어서 말렸는데 색이다 벗겨졌어요..코팅을 하시든지 안벗겨지게끔 만들시던지 해야할것같네요,1,0,0,0.13506849,-0.48232707,부정,제품후기형
떡볶이에 같이 넣어먹으려고 주문했는데 좋아요,5,1,1,-1.5414686,0.37422934,긍정,식품카테고리
너무좋아요ㆍ선물해주니 너무 좋아합니다 ㆍ짱짱입니다,5,1,3,-2.2640054,1.4481773,긍정,일반감성형
정말만족합니다 좋은 제품 저렴하게 구입 할수있어서 좋네요,5,1,0,0.23791593,1.6154431,긍정,제품후기형
딸아이랑 제머리했는데 너저분한 빗자루가 되었어요 아마 제가 시술을 잘못한 탓도 있겠지만 이전에 썻던 제품으로는 나름 만독을 했었는데 라는 생각이 들어 후한 평은 남기기가 어렵네여,2,0,0,-0.012659052,0.15340482,부정,제품후기형
맨날 쓰던거. 향이 없어 쓰기 좋음,5,1,3,1.9871427,3.1798074,긍정,일반감성형
처음에는 사이즈가 적당했는데 입다보니 점점 무릎부분이 늘어나네요...이제 헐렁합니다,2,0,3,0.98171556,-0.34866318,부정,일반감성형
비싸게 주고샀는데 마카다미아 알맹이 뭐이리 자라요?? 콩인줄.. 다른 견과류 사다가 이번에 세번째 구매할땐 다른거 도전해봤는데 마카다미아는 실망입니다. 알맹이 코딱지만함,1,0,0,-0.29252154,0.5936713,부정,제품후기형
바이탈뷰티 메이드인 괜찬아요..,5,1,3,-0.04929686,0.19484127,긍정,일반감성형
예뻐요 조금 크긴 하지만 잘 낄게요 ㅎㅎ,5,1,3,1.8474741,-0.7301292,긍정,일반감성형
뚜껑 밀봉 불가능 해요. 굉장히 허술 ㅠㅠ,2,0,3,0.10936443,-1.611597,부정,일반감성형
바디 크림으로 사용하려고 대용량 사봤는데 양이 많네요,4,1,0,0.48463258,0.42954922,긍정,제품후기형
연락이 계속 안 되네요 연락 좀 주세요 아이폰 케이블 쪽에 발열이 너무 심해서 아이가 화상 입을뻔 했어요,1,0,3,-0.4261713,-0.31976447,부정,일반감성형
찌그러짐 없이 잘 포장되어서 왔구요 아직 안먹였는데 잘 먹었으면 좋겠어요,4,1,1,-2.3130152,-0.40929204,긍정,식품카테고리
사장님 특사이즈로 시켰는데 계란만한 사이즈로만 보내주셨어요..반품하기 귀찮아서 그냥 먹긴할텐데 담부턴 마트에서 보고 사먹어야겠네요,1,0,1,-0.41456524,-0.61169404,부정,식품카테고리
반짝반짝 합니다 ㅎㅎ 잘쓰고 있어요 ! 감사합니다 !,5,1,0,0.29361975,1.8297583,긍정,제품후기형
아삭하면서 시원하고 그뒤에 오는 미ㅊ 매운맛 !말해뭐해~엄지척!!,5,1,0,0.010404175,0.193338,긍정,제품후기형
제품은 좋으나 저랑은 안맞네요ㅜ,1,0,3,2.3980289,-1.6011349,부정,일반감성형
아기가 곽우유나 주스를 너무 눌러짜서 젖병에 담아주는데 유용할거 같아요.,5,1,3,-1.1665007,-0.5918317,긍정,일반감성형
"상품은 마음에 드는데..하필 이삿날 배송되어 배송기사님이 정신없는 틈을 타 대~충 조립하고 가셨네요ㅡㅡ침대헤드가 심하게 흔들려 전체적으로 봤더니 ""나사가 전부"" 반만 조여있었습니다",2,0,3,3.0361254,1.0512469,부정,일반감성형
사실 외국 갔다 온 친구가 선물로 사와서 그 맛을 잊지 못해 주문하게되었는데 레몬의 그 신 맛이 훨씬 덜하네요ㅠㅠ,2,0,0,-0.762154,0.39633083,부정,제품후기형
저는 생각보다 불편하네요,2,0,3,1.2881852,-0.47827092,부정,일반감성형
재구매 배송도빠르고 좋앙 항상여기서 주문해요,5,1,2,-0.5269706,3.224674,긍정,배송중심
배송은 보통이었던 거 같구요. 유명하다고해서 아는 동생 선물로 샀습니다. 동생이 만족했으면 좋겠네요.,5,1,3,1.0367028,1.4929991,긍정,일반감성형
충전잘되여ㅛ 데이터로는 모르겠어요,5,1,3,-0.18949026,-1.9118917,긍정,일반감성형
이쁘지만 고리가 작아서 끼우기 쉽지 않네요,2,0,3,1.5443354,-0.6537912,부정,일반감성형
냄새가 너무많이나네요..,1,0,3,-0.0523826,-0.63279307,부정,일반감성형
그저그래요 피부과 압출이 훨좋은드,2,0,3,1.1497419,-1.1854029,부정,일반감성형
배송빠릅니다. 바르고 머리 말리면 푸석거리네요 전혀 부드럽지 않네요,2,0,2,0.24995512,1.8294941,부정,배송중심
아기태어나자마자부터 계속쓰고있어요,4,1,3,-1.6046296,1.8656055,긍정,일반감성형
이쁘장하네요 많이 잡아오겠습니다,5,1,3,2.9390194,0.55609953,긍정,일반감성형
좋아요 싸게 잘 샀네여 배송도 주뭉하고 바로 다음날 왔어요 면이 얇아서 시원하고 편하게 입기 좋아여,4,1,3,2.244798,2.3874552,긍정,일반감성형
"재구매 바지원단이 툭 끊겼어요,, 그냥 신문지 찢어지듯 툭. 전 택부터 떼기도 했고 가격도 싸서 환불안하겠는데 다신 안사요",1,0,3,0.11364139,0.0061669773,부정,일반감성형
엄청 맛있진 않고 쏘쏘 인거 같아요,2,0,3,-1.2252322,-2.8037148,부정,일반감성형
덕분에 태국에서 인터넷 잘 썼어요 배송도 다음날 바로오고 짱 좋았습니다 여행 같이 간친구한테도 링크 보내서 둘다 이 유심으로 여행 잘 했어요 ~,5,1,3,-0.08564262,0.56197846,긍정,일반감성형
재구매 아이가 좋아해서 계속 시키고 있어요 ㅎㅎ 늘 샘플도 챙겨주셔서 어디 놀러갈 때 가지고 나가기 좋아요 감사합니다,5,1,3,-2.4660165,1.2352138,긍정,일반감성형
음..모양도 이쁘고...머리에 꽃았을때 이뻐요...,5,1,3,2.0116792,0.908224,긍정,일반감성형
그럭저럭 먹을만 해요,2,0,1,-2.4902062,-0.04468274,부정,식품카테고리
비추.. 케이스 안빠짐..,1,0,3,0.585658,-1.0774568,부정,일반감성형
포장 개떡같이왔네요 스티로폼 다부서진거 종이로 덧대서 왔고 아이스팩하나없고 신선하겠음? 연어에 검은거 누런거 곰팡이에요??? 정말 실망이네요 웬일로 무료배송이길래 샀더니 연어사면서 기분 더러운적 처음이네요 이거먹어도 되는 겁니까????,1,0,3,-0.30352837,-0.6380297,부정,일반감성형
강원도사는데 안추워요,5,1,3,-1.2116779,0.31503987,긍정,일반감성형
재구매 아이가 잘먹어서 과자는 여기것만 먹는데 이번엔 너무 마니 부서져왔어요ㅠ롱스틱인데ㅠㅠ배송에 문제가 있었겠지만 그래도 속상해요,2,0,1,-1.8623985,-0.5048885,부정,식품카테고리
벌써세번째재구매에요!!너무좋아용,5,1,3,0.05228143,1.7305125,긍정,일반감성형
여행갔다가 나중에 박스를 보니 필립스였어요 이게뭐죠? ㅎㅎ,1,0,3,-0.08052455,0.42937082,부정,일반감성형
진짜 맛있었어요ㅠ ㅠ 재구매율 100프로ㅜ,5,1,1,-1.9170728,0.61181784,긍정,식품카테고리
이번 여름휴가때 쓰려고 샀어요~ 제 사이즈를 잘 몰라서 일단 여친꺼 s/m 주문해서 써보고 L로 주문넣었습니다~ 아직 물속에서 사용은 안했지만 핏감은 좋은거 같아요,5,1,0,1.7086282,-0.062184636,긍정,제품후기형
캠핑용으로 구매하였는데 가성비 괜찮네요,4,1,0,-1.168553,2.2387838,긍정,제품후기형
기대를 너무햇나요? 맛이 엄어요ㅜㅜㅜ,2,0,3,2.3376088,-0.6085107,부정,일반감성형
로고 엔틱 부분에 점박이 처럼 심합니다 상품마다 차이가있다지만 제껀 너무 심하네요,1,0,3,0.30168778,-0.40359315,부정,일반감성형
기재되어 있는 배송료와 달라서 당황했지만 저렵하게 잘 샀습니다.,2,0,0,-0.14341001,0.31055063,부정,제품후기형
굽상실그릇 이네요 ㅜㄴ,2,0,3,0.6031817,1.460217,부정,일반감성형
배송은 조금 늦지만 너무 마음에 들어요,5,1,3,3.4747708,1.2793777,긍정,일반감성형
재구매 재구매했어요 약불에서 양념장부어가며 푹조렸더니 연하고 부드러워 뼈발라가며 맛있게먹었어요,5,1,1,-1.8247339,0.8610338,긍정,식품카테고리
10키로짜리는 배송중 파손된 제품이 많았어요. 5키로짜리로 구매하는게 좋을듯해요.,2,0,0,-1.1003448,-0.525032,부정,제품후기형
편하고 젛아요 ㅎㅎㅎ,4,1,3,1.5872363,1.36602,긍정,일반감성형
항상시켜먹는 멸균우유에요 유통기한도 한달이상넉넉해서 너무좋아요,5,1,1,-2.5365148,-1.1731999,긍정,식품카테고리
첨이라 3단계 하나 4단계 하나 구매해서 아직 3단계만 써보는중입니다만 사용감이 시원하고 개운하고 좋습니다.,5,1,0,2.3756762,-0.076574445,긍정,제품후기형
내구성이너무약함 버클채우려고 살짝힘줬는데 두개다 찢어짐,1,0,3,0.9344301,-1.7009515,부정,일반감성형
보기와 같아요 잘쓸께요,2,0,3,1.4078364,1.835662,부정,일반감성형
항상 믿고 신는 도고 압스! 다리도 시원하게 안 붓고 일반 스타킹이랑 비슷하게 자연스러워서 좋아요 ㅎㅎ,5,1,3,-0.097594745,0.5779089,긍정,일반감성형
장난감이 종류별로 정말 알차게 들어가네요~~저렴한 가격에좋은제품 구매하게되어 너무좋네요~^^,5,1,0,0.33519417,1.4782933,긍정,제품후기형
튼튼하고좋아요 느낌이 약간 끈적이 묻은 느낌이라 익숙하지 않지만 맘에듭니다 다만 뒷편에 프린트라벨지로 쟁반 크기랑 회사이름 붙어있는데요 이거 띠는데 깨끗히 안떨어집니다 넘 싫어요,5,1,3,0.5335177,0.08117955,긍정,일반감성형
재구매 입에서도 잘녹고 아이가잘먹네요~^^ 배송도빠르고 ~ 만족합니다,5,1,2,-0.9052999,2.7191386,긍정,배송중심
장점 : 귀속의 귀지 위치 파악 단점 : 다른 리뷰의 단점들 다 걍 쓸모없는 내시경 삿네요.,1,0,3,-0.12796962,0.25066993,부정,일반감성형
맛있는 제품이네요 가격도좋구요,5,1,3,1.287716,2.7294593,긍정,일반감성형
딱딱해서 자다가 몇 번 ㄲㅐ지만.. 아침ㅇㅔ 일어나면 무거웠던 목이 가벼우ㅁ,5,1,3,0.7946982,0.14148,긍정,일반감성형
배송빠르네요 바늘부분 매듭이 엉성해서 바르게 세워지질 않네요,2,0,2,0.07755335,3.3914664,부정,배송중심
광어회가 두툼하니 식감이 괜찮아요,4,1,3,0.627202,0.5620807,긍정,일반감성형
좋긴 좋은데 아주 좋진않아요,4,1,3,1.2604021,2.7238643,긍정,일반감성형
전 자기전에 하는데 아침에 일어나서 입냄새도 안나고 텁텁함도 없고 개운해요 신혼부부한테는 더더 추천 ㅋㅋ,5,1,3,0.2113583,0.2501619,긍정,일반감성형
45g인데 생각보다 ... 불량 구멍이 좀 있네요...,1,0,3,0.4970189,-0.3456784,부정,일반감성형
선물로 사줬는데 넘 좋아합니다,5,1,3,3.3792794,1.3451605,긍정,일반감성형
응대서비스가 좀 아쉽네요,1,0,3,1.1846707,-2.4852955,부정,일반감성형
저는 너무 달아서 별로입니다,2,0,3,0.371495,-2.5916004,부정,일반감성형
올때 늦게 와서 딸기는 다 녹고 두개다 상자가 안에서 깨져서 딸기물은 새서...ㅡㅡ 저번에도 녹은 상태로 왔는데 배송에 신경 쓰세요!,2,0,3,-1.4432063,-1.4064595,부정,일반감성형
기름이 어마어마해요.,2,0,3,-0.017314902,-0.13749498,부정,일반감성형
맛은 평타입니다~~ 괜찮아요,5,1,3,0.7103089,1.3076828,긍정,일반감성형
