,score
29410,5
37418,4
82250,2
8817,1
174181,5
53979,1
86096,1
174640,2
102060,5
148697,4
21735,1
39404,5
161939,5
86714,2
83315,2
46947,2
86862,4
72260,5
53462,5
175133,2
169061,1
69316,2
84285,1
127118,2
107233,2
162210,2
18508,4
119688,5
6001,5
10424,1
173902,2
136372,5
67023,5
138799,1
110280,5
1336,1
165857,5
38017,5
79749,1
42983,2
197523,2
125360,2
112186,5
86513,2
139129,5
32500,5
165865,5
191,5
20910,4
195802,1
71906,5
174079,5
162296,5
7272,2
111101,1
138557,1
116213,4
126807,1
172038,5
92498,5
37193,2
57192,2
149070,5
6504,1
168048,5
110175,2
59811,2
47519,5
60288,5
177261,5
164029,5
19215,5
72119,2
53931,5
112020,1
153559,1
31771,1
144914,1
192636,1
165222,2
20501,1
165770,5
3232,2
8375,5
65250,2
21371,5
192554,5
16786,5
48963,2
172276,5
76125,5
17425,2
176847,5
15016,1
34831,1
155511,4
176243,5
161452,2
57841,5
33714,2
131173,2
196910,2
181475,1
88590,5
115097,4
10723,2
122236,5
102785,5
6081,5
86724,4
79629,4
114951,2
1343,2
197261,5
80151,5
193013,5
38825,4
151809,5
12740,2
171564,5
175811,4
117322,1
25211,4
112903,5
90055,2
2971,5
127009,5
119929,5
4402,4
40084,5
55440,1
540,2
52656,2
123373,2
112021,2
79097,2
1423,5
120627,5
29685,2
117557,5
25061,2
128432,2
40018,1
180438,2
118086,2
11867,4
56150,2
25377,1
159675,2
167630,5
101949,2
195127,5
85029,5
132432,1
79952,1
56955,2
111591,5
95166,1
133441,2
138735,5
93727,2
138757,5
178545,2
100727,2
129855,5
37170,4
134043,2
154684,4
45137,1
74662,5
96955,1
134080,2
181874,2
190006,2
61740,5
15595,1
133393,5
60359,4
48741,4
18204,2
154851,5
79988,1
99328,2
44036,1
124607,5
157666,2
140122,1
38171,1
129982,2
11759,2
88881,2
117473,2
69939,1
78257,5
144854,2
69303,5
173697,5
562,1
129265,2
13758,5
56410,5
39459,5
163948,1
109618,2
135903,1
70277,2
74638,2
147299,2
160581,5
71112,5
46064,5
12174,2
177846,2
170303,2
83151,5
82922,1
53450,4
25468,5
144096,5
78641,1
184389,1
100224,2
70215,1
159863,2
193895,1
63955,1
126112,1
128231,1
13780,4
128056,5
49792,2
50756,4
130033,2
83736,5
107909,1
69132,5
72462,1
192005,2
86275,1
151356,4
187718,1
53928,2
30546,2
121232,1
1536,1
17522,2
46712,4
182717,5
139333,2
80717,2
145027,2
127461,5
62363,2
87791,2
143497,5
176046,2
3968,2
142656,5
77528,5
85580,2
61440,5
137318,2
62178,1
47996,5
45593,2
32605,1
134888,2
143166,5
111331,5
147222,2
100609,5
6031,2
127617,1
15232,1
169209,2
20496,5
75277,5
181327,5
91688,2
138479,4
179121,4
129745,5
33589,5
14378,2
85251,5
180471,5
60720,2
115294,2
30923,5
144463,1
107713,2
50082,5
140582,5
70525,2
87205,2
167022,2
148917,5
20012,5
45385,2
19724,5
78489,2
192158,5
89124,2
136236,2
50031,5
85855,2
97840,2
157206,5
141363,1
21181,2
102094,4
63911,1
84186,5
97581,5
108310,4
101272,1
176443,2
129893,5
50727,5
33395,5
180582,4
8063,2
100115,5
30479,5
80169,2
50384,4
142251,5
11959,5
148990,5
7897,5
90768,5
27929,4
184283,5
16537,1
115485,4
83371,5
59958,2
188767,5
157681,5
153644,2
29694,2
100781,2
72475,4
94883,5
161696,2
106002,4
90995,1
154741,5
131750,2
29827,5
150157,1
150515,5
92500,2
45565,1
104541,2
41605,4
64241,5
107871,5
62377,5
188185,5
162662,2
106116,4
29360,2
21236,5
1859,1
143920,5
9185,1
68410,5
34953,2
68398,5
927,4
125523,5
138284,5
42229,5
25257,1
147550,5
44446,2
19689,5
191351,2
46352,5
147090,1
11392,1
143528,4
7326,2
114979,2
68084,5
15485,5
180543,5
49552,1
181650,2
29614,5
64157,1
104813,5
119560,5
154447,2
154500,5
20600,5
145990,1
162372,1
85552,5
103832,1
198892,5
128178,5
167277,2
42010,1
191738,1
160884,1
139465,5
102863,2
179776,5
191596,5
18057,5
127964,1
154759,4
151814,1
8436,1
150951,2
113850,5
178142,2
103370,5
179943,5
114438,2
44147,2
47907,5
85308,2
120521,5
172533,5
77763,2
92091,5
107770,5
76822,5
165296,4
18621,1
109460,1
128550,5
78685,2
100269,2
90536,5
162455,5
172564,5
78098,1
156521,2
38358,4
174929,5
171069,2
58084,2
192720,1
81280,5
73860,5
138170,5
24891,5
168412,5
27023,5
119414,2
162649,5
38884,5
120533,2
105059,5
194503,5
106676,1
68825,5
98338,1
73623,2
75262,1
172373,5
143924,2
95665,4
51355,5
165745,1
87113,1
97588,5
193158,2
108710,1
162217,2
106826,5
144207,1
166117,1
126409,5
84871,1
168239,1
121411,2
180298,5
88986,5
183888,5
155035,5
172020,2
148127,2
28502,5
77319,2
1431,5
150598,2
80507,4
75390,5
173535,4
96605,5
40314,1
77149,5
5730,2
198506,2
66121,4
170308,2
93225,5
169614,5
40100,4
94229,1
13828,5
38540,2
20455,1
23044,4
119053,1
14084,2
65384,5
86726,1
91225,2
39166,5
24070,4
61918,1
72790,2
82808,1
165268,2
72128,4
107400,5
176952,1
49725,5
78786,4
56271,2
159445,1
162369,1
111812,1
11670,1
23597,2
158918,1
153288,1
185144,5
148012,5
172725,5
29892,5
136819,2
204,2
149794,4
15132,4
13542,1
185168,5
63147,1
117816,5
135938,2
160102,2
154568,5
8854,2
91997,5
88433,5
70214,2
176580,2
145169,2
27265,5
164848,4
133765,2
51529,5
158998,5
92276,2
71630,2
194884,4
176432,5
163925,5
69516,2
49168,5
181422,5
42713,2
115750,5
94145,5
168456,5
156323,5
155189,2
28589,5
6049,2
180008,2
142495,4
158788,2
103653,4
191302,5
74289,5
119523,2
73334,2
4233,4
156139,5
143575,2
96734,5
27210,2
100762,5
174032,5
13100,2
70409,5
80083,5
15511,1
36691,5
168341,2
74516,2
45208,2
92368,5
2110,1
16467,5
170663,1
48904,5
171952,5
22014,1
48580,5
158022,5
118977,1
98573,5
123141,2
66329,5
59775,4
192863,2
97548,5
64938,5
183254,2
148556,2
133903,5
129382,2
64304,2
119850,5
18602,2
8791,5
130491,4
94866,2
101118,4
78902,2
35244,5
97613,5
73203,2
171670,5
161740,5
136211,5
168359,2
64823,1
47108,1
80846,1
157242,5
41728,4
120639,5
125063,5
129441,5
146245,5
70937,4
106696,5
79300,2
166075,2
42952,2
128313,4
36198,2
46693,2
81344,2
104948,1
83781,2
70961,2
44127,2
154328,5
81907,5
142873,5
157304,2
152637,4
8072,2
171221,1
178293,1
121995,2
67357,2
31331,1
22140,5
105396,5
195080,5
135129,5
5192,5
57756,5
5756,1
13474,2
10864,2
37399,5
60561,2
160449,2
18816,5
24466,5
135724,2
23778,2
88294,5
121338,2
126410,2
71791,2
63191,5
90863,4
160374,5
55287,1
54560,1
121826,5
60675,2
146930,1
117882,5
60588,5
76744,5
103052,1
40207,5
27103,5
9705,5
25683,5
119937,5
115109,2
187439,2
29704,5
118322,5
69826,2
190814,2
3613,1
119588,2
181485,2
130478,1
125375,5
139767,5
106237,5
125770,1
67561,5
15285,5
19635,5
126554,5
60352,5
158706,2
98045,1
12484,5
118650,2
50429,5
121609,5
180945,4
103573,5
101062,5
121689,2
67360,2
128767,4
36015,2
77587,2
35077,2
15249,5
16602,2
128956,2
61913,1
24687,5
194362,5
56991,5
59577,1
37409,5
89254,5
57078,5
23250,4
68851,5
159957,5
93125,2
51727,2
62701,2
116575,5
72400,5
169175,5
91099,2
56575,5
199147,5
134666,1
171620,2
1030,2
151790,2
185752,1
173028,1
151212,1
89406,5
174732,2
91140,5
180802,5
49360,4
197033,1
116061,2
171956,4
60648,5
133338,2
102196,5
131187,5
147539,5
161920,2
69354,5
120332,2
23304,2
129119,2
59754,4
197648,5
149060,2
101371,1
78518,5
190364,2
9061,5
11792,2
134408,5
77485,1
93292,2
37874,4
16685,2
198432,5
80309,2
3793,2
27829,5
110670,2
44448,2
176229,5
83076,1
124283,1
120271,1
144399,5
83316,2
193513,5
10450,5
175464,4
7244,5
151771,2
76613,2
113227,1
132866,5
143253,5
194038,5
126617,5
13975,2
122711,5
155595,5
149844,5
14004,2
8208,5
145672,2
21188,2
93461,4
178169,5
192911,5
185478,2
140569,5
5751,2
137805,5
81295,2
169248,1
85524,5
139053,2
194478,5
167164,5
158704,5
185918,5
92139,4
93960,5
172838,5
185207,2
157126,2
176285,5
109289,2
23371,5
146877,5
76331,1
21511,2
172299,1
69077,5
13609,2
186940,2
60630,2
33882,2
123053,1
65707,1
21519,2
32332,2
6852,5
174060,5
27433,2
71606,5
134443,2
49117,2
15627,5
46245,5
110611,2
98250,1
75511,1
176379,2
21569,5
175988,5
96241,2
190201,2
110807,5
188775,5
28254,5
115785,4
138622,5
102480,4
19697,2
56657,4
23330,4
183124,2
142206,5
110080,5
130347,2
195282,1
83998,2
108264,5
162730,5
52324,2
125120,5
40243,5
49141,5
182230,5
114663,2
25878,1
181610,5
2047,5
114845,2
28650,5
161408,5
88233,1
160768,5
41380,2
188389,2
29303,1
150781,2
84415,4
58042,1
43816,2
18640,5
102463,5
90096,5
31379,5
154343,2
891,2
107011,4
121534,5
116840,5
46642,5
145952,5
15984,5
136469,1
144195,4
184661,5
4691,1
139165,5
124610,5
107164,5
77303,5
154365,5
80416,2
7262,5
6622,2
87914,2
176562,4
19949,1
115497,2
51517,5
93661,2
118480,2
178153,4
63243,2
196403,2
113729,1
179639,1
89918,1
30582,2
29192,2
97083,5
15273,5
50422,2
91380,5
138290,2
165358,1
176479,1
158309,1
196603,2
88557,1
63761,5
50773,5
19827,1
90884,2
81272,5
43734,5
147221,1
46616,5
139349,2
83551,2
144975,5
154032,5
81707,4
43434,5
29810,2
51107,5
68845,2
37252,2
46983,1
163119,5
6070,5
96603,5
175587,4
155059,5
15810,5
160536,4
121168,5
109441,5
175244,2
53878,2
5532,1
38887,4
79170,5
189694,1
68717,2
3739,1
81003,2
36982,2
85752,5
86670,5
33518,5
168726,5
38362,5
17443,5
152260,2
102108,2
183892,2
159092,2
69284,4
94997,2
102106,5
173061,4
173309,2
160315,1
178940,5
86596,4
25043,5
62021,1
86097,2
76965,5
19144,2
17270,1
137818,2
34094,1
141161,2
51796,2
126689,2
51306,5
156754,1
131049,5
888,5
28068,5
83649,2
153070,2
96240,2
162458,5
179534,2
121018,1
45854,5
33234,4
14101,5
15453,2
76348,5
137957,5
182481,2
140132,2
115358,5
168562,4
34412,5
84150,1
194831,2
116201,2
73950,5
101540,1
79372,5
183633,5
82871,5
72653,5
180590,2
92227,2
146081,2
22911,2
25268,4
38553,2
158749,5
14685,5
73767,5
187082,5
72663,1
97336,2
114123,5
127182,1
12987,2
44419,5
105598,5
111748,5
16037,5
166733,1
159325,2
13329,2
108609,5
93573,2
101929,2
178049,1
66169,1
132945,5
58449,1
132140,2
73571,5
16773,1
23639,5
109088,5
71074,5
6570,1
110498,5
103781,5
8820,2
103852,5
108314,2
46081,2
128242,4
103581,5
105792,1
168795,2
161549,2
28766,5
131978,5
166305,1
165626,5
719,2
104666,2
111192,2
137247,2
65563,2
160365,1
189940,5
104595,1
15934,2
96406,5
127711,4
173579,5
84772,2
67499,5
46594,5
10317,1
180653,5
121288,5
15020,5
83484,5
62450,5
90621,4
69526,1
78625,2
2606,2
87641,5
81013,5
141522,4
132976,2
57509,2
24577,5
184118,1
174638,5
190035,5
131673,5
117930,1
108155,5
122842,2
76089,5
49270,5
153141,2
10169,2
75054,5
45598,2
53052,2
84187,4
176261,5
68912,5
158212,5
162193,2
109512,5
198218,4
57060,2
174921,1
191124,1
94802,5
124280,5
84757,1
19947,5
191946,2
186128,5
51136,5
90293,5
114520,5
193251,1
162537,2
19323,1
174745,5
131591,2
154987,2
102405,5
89510,4
10185,1
164746,2
14336,2
102553,2
10606,1
42759,5
85209,2
179494,4
193651,2
146320,2
59607,1
179836,5
34958,5
59488,5
38186,5
89558,2
192609,5
55732,2
3360,5
142096,5
35410,5
24793,2
120343,4
19099,5
100996,5
26888,2
27806,5
88496,2
40863,5
37097,1
193393,5
851,1
16987,5
62779,2
82879,2
176921,1
40101,5
139116,5
52458,1
47860,2
49643,2
55600,2
59434,4
32263,5
27156,1
92182,5
130203,5
56680,2
194485,1
24849,2
180179,1
162742,1
14899,5
172157,2
22414,2
182054,5
91462,5
165471,2
174793,4
50946,5
6691,2
86691,5
182707,2
158578,5
188939,5
24836,2
4925,5
104423,2
70766,2
63827,1
129735,5
188619,2
58803,1
22530,1
69100,5
27365,2
40006,5
95412,5
135298,5
154268,2
57404,5
52566,5
127487,1
163289,5
128750,2
41945,2
87584,5
23500,1
54104,5
80127,5
94548,2
176862,2
48207,5
35294,5
76778,5
101205,1
111550,5
100473,4
154607,1
144393,5
178832,4
38274,5
91434,2
46601,2
197879,2
120663,1
80231,2
176885,5
26079,2
185232,4
152340,4
44536,2
163183,4
193934,5
164691,5
150472,5
108997,5
76311,2
60239,1
116088,5
198306,1
141000,5
79780,5
32321,2
1056,2
176982,5
16690,5
68298,2
14391,5
77548,5
197256,1
82034,5
199048,4
137002,4
124156,2
112839,1
34226,1
98378,5
13396,1
126734,2
95247,2
110572,5
131415,5
38029,4
83743,1
123909,1
32505,2
98674,4
145641,1
194864,2
166395,2
197180,5
41138,2
197191,5
25373,2
164917,1
156433,5
8322,2
171353,1
198013,5
50628,5
85980,1
196452,5
57485,2
162766,2
166711,5
61516,5
147816,1
25985,1
147258,5
100930,2
118093,1
17017,1
56049,2
123223,5
74642,1
57363,2
190293,1
191691,2
170398,5
168195,5
309,5
6235,2
175236,1
113497,5
105708,5
187010,1
89606,4
100225,5
108298,2
107834,1
122411,2
84342,1
178274,1
129152,5
193331,5
4587,5
41795,5
87609,1
39398,5
127574,5
44882,2
74346,5
34145,4
107650,5
83682,5
162031,1
191843,1
52905,2
106969,5
14889,1
166819,5
72002,5
71843,1
17318,4
58043,5
168484,2
127534,2
61447,5
168775,5
43441,5
45993,1
120433,1
2834,2
142565,5
132585,2
93590,5
29516,2
86715,2
11787,4
43848,2
115166,1
128063,1
97536,5
106692,5
114519,2
76234,1
167403,5
73199,4
120375,1
171536,5
80370,5
128004,2
107035,2
188006,4
28894,2
61709,2
91947,5
26760,2
101145,4
33585,5
51587,2
41057,5
36846,1
167016,2
161274,1
18505,2
42223,1
159524,1
91732,2
38424,4
85875,5
150420,5
8344,5
46586,5
136837,4
2447,5
198533,2
46300,2
57567,5
159874,1
79842,5
127584,5
121835,4
105919,5
132753,4
106593,1
33144,5
10043,1
160292,4
93668,5
144584,5
119963,5
177288,5
30034,5
72470,2
177195,5
101895,4
128141,5
134351,5
40785,4
71215,5
81480,1
54071,5
175026,5
34072,1
145877,2
167196,5
14924,2
23715,2
136575,2
20863,1
43040,1
9474,2
41746,5
168333,5
132268,5
73855,5
185623,5
5814,2
82930,5
13026,5
99059,1
124731,1
91320,1
141689,2
14072,5
164658,4
28628,2
82037,5
137826,2
169923,4
152862,5
106285,1
179376,2
51799,2
171570,2
117942,5
8099,2
80991,1
155986,5
156716,5
38600,5
54749,2
41374,2
35604,1
107474,5
39476,5
106331,2
146541,1
124529,5
120267,5
97918,5
33288,2
35521,5
158630,5
41377,5
11271,5
162727,2
40080,2
86290,5
169533,1
165253,5
179405,1
84931,5
180184,5
103483,5
94244,1
7753,2
187300,4
197015,5
33150,5
190930,2
23412,2
96543,1
6388,5
64781,5
29669,2
116004,5
94226,5
161481,4
35993,2
177821,4
66252,1
164047,1
164225,5
109003,2
114368,5
184297,5
72407,1
178423,5
6154,4
89400,4
142522,5
33896,5
36462,1
164674,5
153688,5
37476,4
9127,2
163133,2
147112,5
134489,5
44381,5
161941,5
132442,2
145365,4
76529,4
123386,4
36148,5
25350,1
68207,2
165200,2
181281,5
197671,2
13398,2
166144,1
13285,5
197543,5
180451,4
129564,4
74474,2
122645,2
137909,4
59173,1
133793,1
2981,4
90373,5
34037,5
12351,1
121419,5
191401,2
142887,1
129359,1
140398,2
180675,5
197665,5
196769,5
36839,2
168847,5
46937,4
100468,1
197269,1
71934,1
185458,1
191775,2
64590,2
94566,2
139045,2
131488,5
108296,1
92914,2
34467,5
183482,1
153342,5
166695,5
97373,4
109666,5
175945,2
112421,5
192264,2
137038,2
195786,5
101569,2
81740,5
139505,5
15339,5
156301,2
97379,5
57683,4
16040,5
110306,5
183316,5
38265,2
13298,2
154797,5
6663,1
190007,1
173255,2
173388,5
164989,5
60425,5
66907,5
56805,2
112863,2
150288,5
110130,2
150389,1
92181,5
142101,5
61239,2
28362,5
128209,1
143315,5
149174,2
14531,4
123182,5
105757,5
18421,1
114714,1
1430,2
96372,5
49558,5
117135,5
157321,5
184792,4
110989,5
151450,5
19556,2
35270,5
194141,5
194375,1
133873,5
192967,4
90834,1
32503,2
27173,5
183765,5
129432,5
36605,2
72817,2
132020,5
121653,5
177582,2
112868,1
86990,5
140366,2
17091,4
171755,5
141556,5
180570,5
99880,5
190746,2
103668,1
170113,2
127588,5
138168,5
66536,4
166628,5
117997,2
31651,5
95410,5
67767,2
185764,5
183896,5
145126,5
195768,5
142627,4
166544,5
71832,2
109238,2
99454,2
22794,2
16180,2
151582,5
56588,4
31576,2
193422,5
107921,2
15036,2
7780,5
152144,2
48118,5
61589,1
24236,5
172950,1
5226,2
28193,4
79597,5
46585,5
134864,2
51006,5
133641,5
64203,5
54508,1
191085,4
180128,2
167969,2
198265,1
138994,1
113603,2
69501,5
85391,5
99195,4
95034,4
118562,4
43462,5
12537,2
121398,2
41933,2
32885,5
159602,2
171731,5
51438,2
82204,1
48884,5
49660,5
17102,1
111567,2
171613,5
2066,5
123536,1
109384,2
188418,5
110720,4
143731,2
193685,2
103062,5
129520,5
6419,2
97503,2
171197,5
140130,2
39734,1
53921,2
124506,4
30023,5
169971,4
141032,1
192861,5
19077,2
81809,4
17545,4
130804,1
171821,2
193645,1
9000,5
32516,1
66181,2
69732,5
5541,2
196613,2
146692,2
89965,2
162898,1
115714,5
95730,5
161112,4
64476,2
31654,1
71598,5
51599,2
21996,5
196842,5
75109,5
153351,2
175968,1
97089,5
162783,5
114722,4
94465,1
119021,1
186431,5
119120,1
139364,2
190325,5
33646,5
143069,5
173984,1
180593,2
116734,4
167438,5
95759,1
90275,2
150985,1
96719,5
79130,2
66073,5
23603,1
162256,1
148032,5
17456,5
137058,5
4196,5
49170,1
56771,5
30677,2
51643,1
105789,1
141785,5
189459,5
41829,4
30504,1
81543,5
62880,2
47764,1
53688,1
106914,2
11210,2
75757,2
179930,5
171916,2
146718,1
179203,1
115495,1
118042,2
106448,2
127970,5
86188,2
141410,2
114248,5
53420,2
169086,2
63011,5
180806,1
181148,1
129080,2
67792,5
190677,5
83163,2
64220,2
6966,2
70538,4
181654,2
73299,5
95323,5
35247,1
92189,2
40467,5
175853,1
178673,5
73083,2
47148,5
98881,5
122493,4
172731,5
106049,4
123820,5
120380,1
128815,4
125992,4
196885,2
80259,4
139949,2
14727,5
87218,2
45427,5
89851,5
197407,2
164205,4
60690,2
190934,1
118261,1
192385,2
164659,5
81277,1
20748,5
126602,5
34985,1
176111,5
54897,5
33536,2
58403,5
43195,5
30068,2
42450,4
132097,5
103231,1
122509,1
116816,5
146924,2
18410,1
135020,5
5489,2
151987,5
47390,5
112217,4
194150,2
26233,2
10241,1
65698,2
64802,5
170098,2
27475,1
176803,5
74089,2
112740,4
48127,5
112602,1
46512,5
165918,4
110801,5
56584,1
162523,1
10563,5
110761,5
131043,2
6072,5
45590,5
79056,5
128690,5
138485,1
2435,2
31389,2
178779,4
174923,5
161400,5
297,4
49732,2
75672,5
177654,5
4959,5
75382,5
99837,5
22380,2
148801,4
69895,2
68063,2
80462,5
82727,1
148510,5
115148,5
79634,5
82837,2
81022,2
176699,2
1397,1
42631,5
92451,1
154592,5
171758,5
175098,5
57249,2
157188,2
190683,5
81197,2
64159,1
112131,5
82002,5
132571,2
92781,1
41548,5
169623,2
115933,5
172946,1
125294,5
63436,1
143794,5
151894,4
35502,1
51150,5
80077,1
82733,2
72660,5
34289,1
106187,1
194865,2
118680,5
8527,2
43827,5
189491,5
87188,5
64183,2
141292,1
198106,5
105105,1
176217,5
144327,2
38399,5
116473,2
172869,5
109126,2
146847,5
142053,2
190592,2
48066,4
155201,2
87226,5
197227,1
82026,5
124910,5
175033,1
59652,2
157818,2
127188,2
191826,2
130221,4
47913,5
126898,2
30063,2
179010,2
43266,1
96919,2
126122,2
21958,5
59197,2
181959,1
3515,1
177318,2
96510,2
97257,5
1351,5
20765,2
30397,2
91269,5
185848,5
94726,1
53124,1
52185,2
138865,5
194103,5
137373,2
198919,1
144185,5
80805,4
70865,2
89863,5
136232,1
81538,2
131972,1
36498,2
185293,4
81399,2
21942,1
59208,4
167545,2
45201,5
149288,1
124147,1
114570,5
12816,1
146002,2
46149,5
20372,5
170787,5
168222,2
116246,1
96893,5
150701,2
44940,1
170998,2
112955,2
86198,5
176382,5
129061,2
7620,5
117969,4
191817,5
141623,5
37589,5
149432,2
153491,1
6879,2
197301,5
45918,1
135666,2
44665,2
161889,2
180535,5
15980,5
67660,2
96291,2
173058,2
109432,5
123173,1
17864,2
185057,5
24223,5
138392,5
30376,5
58414,5
86351,5
16162,2
75246,2
168450,2
116342,4
10750,5
88716,2
88687,2
163046,5
17404,2
159797,5
56786,5
39662,2
33934,2
133635,5
112931,1
64032,1
80457,2
113580,2
190859,2
83264,5
8299,4
9909,5
156486,5
36447,1
13295,2
104513,2
136021,2
28217,5
34677,1
41200,5
159141,5
93036,5
156242,5
90746,2
58840,5
147794,2
15423,2
33869,2
23183,1
174543,2
163070,1
31812,2
189674,2
177414,5
83028,2
124176,5
185744,1
170041,2
112266,5
110653,5
39808,5
36554,5
91897,2
19155,5
117109,2
4941,1
88406,5
139688,5
26174,5
68873,5
85736,5
91049,2
64859,1
55339,2
155027,5
9148,2
174591,5
104212,2
142593,5
143978,1
28128,4
87121,2
144359,2
54744,1
62110,5
143857,1
116719,5
113486,5
148111,1
36245,1
95382,1
196739,5
114033,2
41810,1
122785,1
103503,5
195926,2
170581,4
96542,1
56080,5
55380,5
189974,5
148641,5
131560,5
138948,5
197225,2
60725,5
169667,2
176406,4
169625,2
36237,5
124148,5
104781,2
123446,4
24211,2
57592,2
128253,5
192903,5
42669,5
35810,5
112664,1
37028,4
101431,4
131871,5
152751,5
111971,5
154144,2
181343,5
11459,1
68748,5
60960,5
168969,4
9696,5
122868,5
197838,5
132559,5
96167,2
53709,1
45402,5
162617,2
185111,1
37304,2
188107,5
172979,5
164379,4
93314,5
122060,1
137237,5
4887,1
113902,4
115528,5
44406,2
49716,1
9210,5
159535,1
19158,1
82916,2
73904,2
195772,2
199018,2
74069,2
109116,1
190563,5
172730,5
11767,4
14479,5
161419,1
65186,5
58548,2
187561,1
44490,2
60529,1
85899,2
151761,5
156051,1
6711,5
189876,5
84603,5
121867,1
87802,5
126579,5
88642,5
158017,2
183483,1
21836,2
17853,2
50012,5
14637,5
152268,5
126216,5
