,label
191528,0
20059,0
144258,1
136421,1
21267,0
96129,0
193268,0
17741,1
39546,0
102423,0
4035,0
121139,1
145583,1
94812,1
29177,0
118775,1
193159,1
112201,0
158882,0
177830,0
87591,1
92995,0
11145,0
18302,0
11138,0
208,0
31075,0
67569,0
197145,1
137112,0
58283,0
126065,0
69848,1
20831,1
164174,1
81333,0
187017,1
127214,1
175399,0
180338,1
3166,1
51387,1
195249,0
114409,1
124389,0
96316,1
118611,0
192687,0
7319,0
49448,0
17535,0
77920,0
23004,0
159644,1
120053,0
156878,1
108195,0
16299,1
188080,0
54520,1
116915,0
54444,0
102102,0
120607,0
60181,1
121091,0
100959,0
82952,0
140981,1
7853,1
130511,0
106885,1
64572,1
31169,1
133295,0
36164,0
26071,0
108286,1
83424,0
29410,1
37418,1
82250,0
8817,0
174181,1
53979,0
86096,0
174640,0
102060,1
148697,1
21735,0
39404,1
161939,1
86714,0
83315,0
46947,0
86862,1
72260,1
53462,1
175133,0
169061,0
69316,0
84285,0
127118,0
107233,0
162210,0
18508,1
119688,1
6001,1
10424,0
173902,0
136372,1
67023,1
138799,0
110280,1
1336,0
165857,1
38017,1
79749,0
42983,0
197523,0
125360,0
112186,1
86513,0
139129,1
32500,1
165865,1
191,1
20910,1
195802,0
71906,1
174079,1
162296,1
7272,0
111101,0
138557,0
116213,1
126807,0
172038,1
92498,1
37193,0
57192,0
149070,1
6504,0
168048,1
110175,0
59811,0
47519,1
60288,1
177261,1
164029,1
19215,1
72119,0
53931,1
112020,0
153559,0
31771,0
144914,0
192636,0
165222,0
20501,0
165770,1
3232,0
8375,1
65250,0
21371,1
192554,1
16786,1
48963,0
172276,1
76125,1
17425,0
176847,1
15016,0
34831,0
155511,1
176243,1
161452,0
57841,1
33714,0
131173,0
196910,0
181475,0
88590,1
115097,1
10723,0
122236,1
102785,1
6081,1
86724,1
79629,1
114951,0
1343,0
197261,1
80151,1
193013,1
38825,1
151809,1
12740,0
171564,1
175811,1
117322,0
25211,1
112903,1
90055,0
2971,1
127009,1
119929,1
4402,1
40084,1
55440,0
540,0
52656,0
123373,0
112021,0
79097,0
1423,1
120627,1
29685,0
117557,1
25061,0
128432,0
40018,0
180438,0
118086,0
11867,1
56150,0
25377,0
159675,0
167630,1
101949,0
195127,1
85029,1
132432,0
79952,0
56955,0
111591,1
95166,0
133441,0
138735,1
93727,0
138757,1
178545,0
100727,0
129855,1
37170,1
134043,0
154684,1
45137,0
74662,1
96955,0
134080,0
181874,0
190006,0
61740,1
15595,0
133393,1
60359,1
48741,1
18204,0
154851,1
79988,0
99328,0
44036,0
124607,1
157666,0
140122,0
38171,0
129982,0
11759,0
88881,0
117473,0
69939,0
78257,1
144854,0
69303,1
173697,1
562,0
129265,0
13758,1
56410,1
39459,1
163948,0
109618,0
135903,0
70277,0
74638,0
147299,0
160581,1
71112,1
46064,1
12174,0
177846,0
170303,0
83151,1
82922,0
53450,1
25468,1
144096,1
78641,0
184389,0
100224,0
70215,0
159863,0
193895,0
63955,0
126112,0
128231,0
13780,1
128056,1
49792,0
50756,1
130033,0
83736,1
107909,0
69132,1
72462,0
192005,0
86275,0
151356,1
187718,0
53928,0
30546,0
121232,0
1536,0
17522,0
46712,1
182717,1
139333,0
80717,0
145027,0
127461,1
62363,0
87791,0
143497,1
176046,0
3968,0
142656,1
77528,1
85580,0
61440,1
137318,0
62178,0
47996,1
45593,0
32605,0
134888,0
143166,1
111331,1
147222,0
100609,1
6031,0
127617,0
15232,0
169209,0
20496,1
75277,1
181327,1
91688,0
138479,1
179121,1
129745,1
33589,1
14378,0
85251,1
180471,1
60720,0
115294,0
30923,1
144463,0
107713,0
50082,1
140582,1
70525,0
87205,0
167022,0
148917,1
20012,1
45385,0
19724,1
78489,0
192158,1
89124,0
136236,0
50031,1
85855,0
97840,0
157206,1
141363,0
21181,0
102094,1
63911,0
84186,1
97581,1
108310,1
101272,0
176443,0
129893,1
50727,1
33395,1
180582,1
8063,0
100115,1
30479,1
80169,0
50384,1
142251,1
11959,1
148990,1
7897,1
90768,1
27929,1
184283,1
16537,0
115485,1
83371,1
59958,0
188767,1
157681,1
153644,0
29694,0
100781,0
72475,1
94883,1
161696,0
106002,1
90995,0
154741,1
131750,0
29827,1
150157,0
150515,1
92500,0
45565,0
104541,0
41605,1
64241,1
107871,1
62377,1
188185,1
162662,0
106116,1
29360,0
21236,1
1859,0
143920,1
9185,0
68410,1
34953,0
68398,1
927,1
125523,1
138284,1
42229,1
25257,0
147550,1
44446,0
19689,1
191351,0
46352,1
147090,0
11392,0
143528,1
7326,0
114979,0
68084,1
15485,1
180543,1
49552,0
181650,0
29614,1
64157,0
104813,1
119560,1
154447,0
154500,1
20600,1
145990,0
162372,0
85552,1
103832,0
198892,1
128178,1
167277,0
42010,0
191738,0
160884,0
139465,1
102863,0
179776,1
191596,1
18057,1
127964,0
154759,1
151814,0
8436,0
150951,0
113850,1
178142,0
103370,1
179943,1
114438,0
44147,0
47907,1
85308,0
120521,1
172533,1
77763,0
92091,1
107770,1
76822,1
165296,1
18621,0
109460,0
128550,1
78685,0
100269,0
90536,1
162455,1
172564,1
78098,0
156521,0
38358,1
174929,1
171069,0
58084,0
192720,0
81280,1
73860,1
138170,1
24891,1
168412,1
27023,1
119414,0
162649,1
38884,1
120533,0
105059,1
194503,1
106676,0
68825,1
98338,0
73623,0
75262,0
172373,1
143924,0
95665,1
51355,1
165745,0
87113,0
97588,1
193158,0
108710,0
162217,0
106826,1
144207,0
166117,0
126409,1
84871,0
168239,0
121411,0
180298,1
88986,1
183888,1
155035,1
172020,0
148127,0
28502,1
77319,0
1431,1
150598,0
80507,1
75390,1
173535,1
96605,1
40314,0
77149,1
5730,0
198506,0
66121,1
170308,0
93225,1
169614,1
40100,1
94229,0
13828,1
38540,0
20455,0
23044,1
119053,0
14084,0
65384,1
86726,0
91225,0
39166,1
24070,1
61918,0
72790,0
82808,0
165268,0
72128,1
107400,1
176952,0
49725,1
78786,1
56271,0
159445,0
162369,0
111812,0
11670,0
23597,0
158918,0
153288,0
185144,1
148012,1
172725,1
29892,1
136819,0
204,0
149794,1
15132,1
13542,0
185168,1
63147,0
117816,1
135938,0
160102,0
154568,1
8854,0
91997,1
88433,1
70214,0
176580,0
145169,0
27265,1
164848,1
133765,0
51529,1
158998,1
92276,0
71630,0
194884,1
176432,1
163925,1
69516,0
49168,1
181422,1
42713,0
115750,1
94145,1
168456,1
156323,1
155189,0
28589,1
6049,0
180008,0
142495,1
158788,0
103653,1
191302,1
74289,1
119523,0
73334,0
4233,1
156139,1
143575,0
96734,1
27210,0
100762,1
174032,1
13100,0
70409,1
80083,1
15511,0
36691,1
168341,0
74516,0
45208,0
92368,1
2110,0
16467,1
170663,0
48904,1
171952,1
22014,0
48580,1
158022,1
118977,0
98573,1
123141,0
66329,1
59775,1
192863,0
97548,1
64938,1
183254,0
148556,0
133903,1
129382,0
64304,0
119850,1
18602,0
8791,1
130491,1
94866,0
101118,1
78902,0
35244,1
97613,1
73203,0
171670,1
161740,1
136211,1
168359,0
64823,0
47108,0
80846,0
157242,1
41728,1
120639,1
125063,1
129441,1
146245,1
70937,1
106696,1
79300,0
166075,0
42952,0
128313,1
36198,0
46693,0
81344,0
104948,0
83781,0
70961,0
44127,0
154328,1
81907,1
142873,1
157304,0
152637,1
8072,0
171221,0
178293,0
121995,0
67357,0
31331,0
22140,1
105396,1
195080,1
135129,1
5192,1
57756,1
5756,0
13474,0
10864,0
37399,1
60561,0
160449,0
18816,1
24466,1
135724,0
23778,0
88294,1
121338,0
126410,0
71791,0
63191,1
90863,1
160374,1
55287,0
54560,0
121826,1
60675,0
146930,0
117882,1
60588,1
76744,1
103052,0
40207,1
27103,1
9705,1
25683,1
119937,1
115109,0
187439,0
29704,1
118322,1
69826,0
190814,0
3613,0
119588,0
181485,0
130478,0
125375,1
139767,1
106237,1
125770,0
67561,1
15285,1
19635,1
126554,1
60352,1
158706,0
98045,0
12484,1
118650,0
50429,1
121609,1
180945,1
103573,1
101062,1
121689,0
67360,0
128767,1
36015,0
77587,0
35077,0
15249,1
16602,0
128956,0
61913,0
24687,1
194362,1
56991,1
59577,0
37409,1
89254,1
57078,1
23250,1
68851,1
159957,1
93125,0
51727,0
62701,0
116575,1
72400,1
169175,1
91099,0
56575,1
199147,1
134666,0
171620,0
1030,0
151790,0
185752,0
173028,0
151212,0
89406,1
174732,0
91140,1
180802,1
49360,1
197033,0
116061,0
171956,1
60648,1
133338,0
102196,1
131187,1
147539,1
161920,0
69354,1
120332,0
23304,0
129119,0
59754,1
197648,1
149060,0
101371,0
78518,1
190364,0
9061,1
11792,0
134408,1
77485,0
93292,0
37874,1
16685,0
198432,1
80309,0
3793,0
27829,1
110670,0
44448,0
176229,1
83076,0
124283,0
120271,0
144399,1
83316,0
193513,1
10450,1
175464,1
7244,1
151771,0
76613,0
113227,0
132866,1
143253,1
194038,1
126617,1
13975,0
122711,1
155595,1
149844,1
14004,0
8208,1
145672,0
21188,0
93461,1
178169,1
192911,1
185478,0
140569,1
5751,0
137805,1
81295,0
169248,0
85524,1
139053,0
194478,1
167164,1
158704,1
185918,1
92139,1
93960,1
172838,1
185207,0
157126,0
176285,1
109289,0
23371,1
146877,1
76331,0
21511,0
172299,0
69077,1
13609,0
186940,0
60630,0
33882,0
123053,0
65707,0
21519,0
32332,0
6852,1
174060,1
27433,0
71606,1
134443,0
49117,0
15627,1
46245,1
110611,0
98250,0
75511,0
176379,0
21569,1
175988,1
96241,0
190201,0
110807,1
188775,1
28254,1
115785,1
138622,1
102480,1
19697,0
56657,1
23330,1
183124,0
142206,1
110080,1
130347,0
195282,0
83998,0
108264,1
162730,1
52324,0
125120,1
40243,1
49141,1
182230,1
114663,0
25878,0
181610,1
2047,1
114845,0
28650,1
161408,1
88233,0
160768,1
41380,0
188389,0
29303,0
150781,0
84415,1
58042,0
43816,0
18640,1
102463,1
90096,1
31379,1
154343,0
891,0
107011,1
121534,1
116840,1
46642,1
145952,1
15984,1
136469,0
144195,1
184661,1
4691,0
139165,1
124610,1
107164,1
77303,1
154365,1
80416,0
7262,1
6622,0
87914,0
176562,1
19949,0
115497,0
51517,1
93661,0
118480,0
178153,1
63243,0
196403,0
113729,0
179639,0
89918,0
30582,0
29192,0
97083,1
15273,1
50422,0
91380,1
138290,0
165358,0
176479,0
158309,0
196603,0
88557,0
63761,1
50773,1
19827,0
90884,0
81272,1
43734,1
147221,0
46616,1
139349,0
83551,0
144975,1
154032,1
81707,1
43434,1
29810,0
51107,1
68845,0
37252,0
46983,0
163119,1
6070,1
96603,1
175587,1
155059,1
15810,1
160536,1
121168,1
109441,1
175244,0
53878,0
5532,0
38887,1
79170,1
189694,0
68717,0
3739,0
81003,0
36982,0
85752,1
86670,1
33518,1
168726,1
38362,1
17443,1
152260,0
102108,0
183892,0
159092,0
69284,1
94997,0
102106,1
173061,1
173309,0
160315,0
178940,1
86596,1
25043,1
62021,0
86097,0
76965,1
19144,0
17270,0
137818,0
34094,0
141161,0
51796,0
126689,0
51306,1
156754,0
131049,1
888,1
28068,1
83649,0
153070,0
96240,0
162458,1
179534,0
121018,0
45854,1
33234,1
14101,1
15453,0
76348,1
137957,1
182481,0
140132,0
115358,1
168562,1
34412,1
84150,0
194831,0
116201,0
73950,1
101540,0
79372,1
183633,1
82871,1
72653,1
180590,0
92227,0
146081,0
22911,0
25268,1
38553,0
158749,1
14685,1
73767,1
187082,1
72663,0
97336,0
114123,1
127182,0
12987,0
44419,1
105598,1
111748,1
16037,1
166733,0
159325,0
13329,0
108609,1
93573,0
101929,0
178049,0
66169,0
132945,1
58449,0
132140,0
73571,1
16773,0
23639,1
109088,1
71074,1
6570,0
110498,1
103781,1
8820,0
103852,1
108314,0
46081,0
128242,1
103581,1
105792,0
168795,0
161549,0
28766,1
131978,1
166305,0
165626,1
719,0
104666,0
111192,0
137247,0
65563,0
160365,0
189940,1
104595,0
15934,0
96406,1
127711,1
173579,1
84772,0
67499,1
46594,1
10317,0
180653,1
121288,1
15020,1
83484,1
62450,1
90621,1
69526,0
78625,0
2606,0
87641,1
81013,1
141522,1
132976,0
57509,0
24577,1
184118,0
174638,1
190035,1
131673,1
117930,0
108155,1
122842,0
76089,1
49270,1
153141,0
10169,0
75054,1
45598,0
53052,0
84187,1
176261,1
68912,1
158212,1
162193,0
109512,1
198218,1
57060,0
174921,0
191124,0
94802,1
124280,1
84757,0
19947,1
191946,0
186128,1
51136,1
90293,1
114520,1
193251,0
162537,0
19323,0
174745,1
131591,0
154987,0
102405,1
89510,1
10185,0
164746,0
14336,0
102553,0
10606,0
42759,1
85209,0
179494,1
193651,0
146320,0
59607,0
179836,1
34958,1
59488,1
38186,1
89558,0
192609,1
55732,0
3360,1
142096,1
35410,1
24793,0
120343,1
19099,1
100996,1
26888,0
27806,1
88496,0
40863,1
37097,0
193393,1
851,0
16987,1
62779,0
82879,0
176921,0
40101,1
139116,1
52458,0
47860,0
49643,0
55600,0
59434,1
32263,1
27156,0
92182,1
130203,1
56680,0
194485,0
24849,0
180179,0
162742,0
14899,1
172157,0
22414,0
182054,1
91462,1
165471,0
174793,1
50946,1
6691,0
86691,1
182707,0
158578,1
188939,1
24836,0
4925,1
104423,0
70766,0
63827,0
129735,1
188619,0
58803,0
22530,0
69100,1
27365,0
40006,1
95412,1
135298,1
154268,0
57404,1
52566,1
127487,0
163289,1
128750,0
41945,0
87584,1
23500,0
54104,1
80127,1
94548,0
176862,0
48207,1
35294,1
76778,1
101205,0
111550,1
100473,1
154607,0
144393,1
178832,1
38274,1
91434,0
46601,0
197879,0
120663,0
80231,0
176885,1
26079,0
185232,1
152340,1
44536,0
163183,1
193934,1
164691,1
150472,1
108997,1
76311,0
60239,0
116088,1
198306,0
141000,1
79780,1
32321,0
1056,0
176982,1
16690,1
68298,0
14391,1
77548,1
197256,0
82034,1
199048,1
137002,1
124156,0
112839,0
34226,0
98378,1
13396,0
126734,0
95247,0
110572,1
131415,1
38029,1
83743,0
123909,0
32505,0
98674,1
145641,0
194864,0
166395,0
197180,1
41138,0
197191,1
25373,0
164917,0
156433,1
8322,0
171353,0
198013,1
50628,1
85980,0
196452,1
57485,0
162766,0
166711,1
61516,1
147816,0
25985,0
147258,1
100930,0
118093,0
17017,0
56049,0
123223,1
74642,0
57363,0
190293,0
191691,0
170398,1
168195,1
309,1
6235,0
175236,0
113497,1
105708,1
187010,0
89606,1
100225,1
108298,0
107834,0
122411,0
84342,0
178274,0
129152,1
193331,1
4587,1
41795,1
87609,0
39398,1
127574,1
44882,0
74346,1
34145,1
107650,1
83682,1
162031,0
191843,0
52905,0
106969,1
14889,0
166819,1
72002,1
71843,0
17318,1
58043,1
168484,0
127534,0
61447,1
168775,1
43441,1
45993,0
120433,0
2834,0
142565,1
132585,0
93590,1
29516,0
86715,0
11787,1
43848,0
115166,0
128063,0
97536,1
106692,1
114519,0
76234,0
167403,1
73199,1
120375,0
171536,1
80370,1
128004,0
107035,0
188006,1
28894,0
61709,0
91947,1
26760,0
101145,1
33585,1
51587,0
41057,1
36846,0
167016,0
161274,0
18505,0
42223,0
159524,0
91732,0
38424,1
85875,1
150420,1
8344,1
46586,1
136837,1
2447,1
198533,0
46300,0
57567,1
159874,0
79842,1
127584,1
121835,1
105919,1
132753,1
106593,0
33144,1
10043,0
160292,1
93668,1
144584,1
119963,1
177288,1
30034,1
72470,0
177195,1
101895,1
128141,1
134351,1
40785,1
71215,1
81480,0
54071,1
175026,1
34072,0
145877,0
167196,1
14924,0
23715,0
136575,0
20863,0
43040,0
9474,0
41746,1
168333,1
132268,1
73855,1
185623,1
5814,0
82930,1
13026,1
99059,0
124731,0
91320,0
141689,0
14072,1
164658,1
28628,0
82037,1
137826,0
169923,1
152862,1
106285,0
179376,0
51799,0
171570,0
117942,1
8099,0
80991,0
155986,1
156716,1
38600,1
54749,0
41374,0
35604,0
107474,1
39476,1
106331,0
146541,0
124529,1
120267,1
97918,1
33288,0
35521,1
158630,1
41377,1
11271,1
162727,0
40080,0
86290,1
169533,0
165253,1
179405,0
84931,1
180184,1
103483,1
94244,0
7753,0
187300,1
197015,1
33150,1
190930,0
23412,0
96543,0
6388,1
64781,1
29669,0
116004,1
94226,1
161481,1
35993,0
177821,1
66252,0
164047,0
164225,1
109003,0
114368,1
184297,1
72407,0
178423,1
6154,1
89400,1
142522,1
33896,1
36462,0
164674,1
153688,1
37476,1
9127,0
163133,0
147112,1
134489,1
44381,1
161941,1
132442,0
145365,1
76529,1
123386,1
36148,1
25350,0
68207,0
165200,0
181281,1
197671,0
13398,0
166144,0
13285,1
197543,1
180451,1
129564,1
74474,0
122645,0
137909,1
59173,0
133793,0
2981,1
90373,1
34037,1
12351,0
121419,1
191401,0
142887,0
129359,0
140398,0
180675,1
197665,1
196769,1
36839,0
168847,1
46937,1
100468,0
197269,0
71934,0
185458,0
191775,0
64590,0
94566,0
139045,0
131488,1
108296,0
92914,0
34467,1
183482,0
153342,1
166695,1
97373,1
109666,1
175945,0
112421,1
192264,0
137038,0
195786,1
101569,0
81740,1
139505,1
15339,1
156301,0
97379,1
57683,1
16040,1
110306,1
183316,1
38265,0
13298,0
154797,1
6663,0
190007,0
173255,0
173388,1
164989,1
60425,1
66907,1
56805,0
112863,0
150288,1
110130,0
150389,0
92181,1
142101,1
61239,0
28362,1
128209,0
143315,1
149174,0
14531,1
123182,1
105757,1
18421,0
114714,0
1430,0
96372,1
49558,1
117135,1
157321,1
184792,1
110989,1
151450,1
19556,0
35270,1
194141,1
194375,0
133873,1
192967,1
90834,0
32503,0
27173,1
183765,1
129432,1
36605,0
72817,0
132020,1
121653,1
177582,0
112868,0
86990,1
140366,0
17091,1
171755,1
141556,1
180570,1
99880,1
190746,0
103668,0
170113,0
127588,1
138168,1
66536,1
166628,1
117997,0
31651,1
95410,1
67767,0
185764,1
183896,1
145126,1
195768,1
142627,1
166544,1
71832,0
109238,0
99454,0
22794,0
16180,0
151582,1
56588,1
31576,0
193422,1
107921,0
15036,0
7780,1
152144,0
48118,1
61589,0
24236,1
172950,0
5226,0
28193,1
79597,1
46585,1
134864,0
51006,1
133641,1
64203,1
54508,0
191085,1
180128,0
167969,0
198265,0
138994,0
113603,0
69501,1
85391,1
99195,1
95034,1
118562,1
43462,1
12537,0
121398,0
41933,0
32885,1
159602,0
171731,1
51438,0
82204,0
48884,1
49660,1
17102,0
111567,0
171613,1
2066,1
123536,0
109384,0
188418,1
110720,1
143731,0
193685,0
103062,1
129520,1
6419,0
97503,0
171197,1
140130,0
39734,0
53921,0
124506,1
30023,1
169971,1
141032,0
192861,1
19077,0
81809,1
17545,1
130804,0
171821,0
193645,0
9000,1
32516,0
66181,0
69732,1
5541,0
196613,0
146692,0
89965,0
162898,0
115714,1
95730,1
161112,1
64476,0
31654,0
71598,1
51599,0
21996,1
196842,1
75109,1
153351,0
175968,0
97089,1
162783,1
114722,1
94465,0
119021,0
186431,1
119120,0
139364,0
190325,1
33646,1
143069,1
173984,0
180593,0
116734,1
167438,1
95759,0
90275,0
150985,0
96719,1
79130,0
66073,1
23603,0
162256,0
148032,1
17456,1
137058,1
4196,1
49170,0
56771,1
30677,0
51643,0
105789,0
141785,1
189459,1
41829,1
30504,0
81543,1
62880,0
47764,0
53688,0
106914,0
11210,0
75757,0
179930,1
171916,0
146718,0
179203,0
115495,0
118042,0
106448,0
127970,1
86188,0
141410,0
114248,1
53420,0
169086,0
63011,1
180806,0
181148,0
129080,0
67792,1
190677,1
83163,0
64220,0
6966,0
70538,1
181654,0
73299,1
95323,1
35247,0
92189,0
40467,1
175853,0
178673,1
73083,0
47148,1
98881,1
122493,1
172731,1
106049,1
123820,1
120380,0
128815,1
125992,1
196885,0
80259,1
139949,0
14727,1
87218,0
45427,1
89851,1
197407,0
164205,1
60690,0
190934,0
118261,0
192385,0
164659,1
81277,0
20748,1
126602,1
34985,0
176111,1
54897,1
33536,0
58403,1
43195,1
30068,0
42450,1
132097,1
103231,0
122509,0
116816,1
146924,0
18410,0
135020,1
5489,0
151987,1
47390,1
112217,1
194150,0
26233,0
10241,0
65698,0
64802,1
170098,0
27475,0
176803,1
74089,0
112740,1
48127,1
112602,0
46512,1
165918,1
110801,1
56584,0
162523,0
10563,1
110761,1
131043,0
6072,1
45590,1
79056,1
128690,1
138485,0
2435,0
31389,0
178779,1
174923,1
161400,1
297,1
49732,0
75672,1
177654,1
4959,1
75382,1
99837,1
22380,0
148801,1
69895,0
68063,0
80462,1
82727,0
148510,1
115148,1
79634,1
82837,0
81022,0
176699,0
1397,0
42631,1
92451,0
154592,1
171758,1
175098,1
57249,0
157188,0
190683,1
81197,0
64159,0
112131,1
82002,1
132571,0
92781,0
41548,1
169623,0
115933,1
172946,0
125294,1
63436,0
143794,1
151894,1
35502,0
51150,1
80077,0
82733,0
72660,1
34289,0
106187,0
194865,0
118680,1
8527,0
43827,1
189491,1
87188,1
64183,0
141292,0
198106,1
105105,0
176217,1
144327,0
38399,1
116473,0
172869,1
109126,0
146847,1
142053,0
190592,0
48066,1
155201,0
87226,1
197227,0
82026,1
124910,1
175033,0
59652,0
157818,0
127188,0
191826,0
130221,1
47913,1
126898,0
30063,0
179010,0
43266,0
96919,0
126122,0
21958,1
59197,0
181959,0
3515,0
177318,0
96510,0
97257,1
1351,1
20765,0
30397,0
91269,1
185848,1
94726,0
53124,0
52185,0
138865,1
194103,1
137373,0
198919,0
144185,1
80805,1
70865,0
89863,1
136232,0
81538,0
131972,0
36498,0
185293,1
81399,0
21942,0
59208,1
167545,0
45201,1
149288,0
124147,0
114570,1
12816,0
146002,0
46149,1
20372,1
170787,1
168222,0
116246,0
96893,1
150701,0
44940,0
170998,0
112955,0
86198,1
176382,1
129061,0
7620,1
117969,1
191817,1
141623,1
37589,1
149432,0
153491,0
6879,0
197301,1
45918,0
135666,0
44665,0
161889,0
180535,1
15980,1
67660,0
96291,0
173058,0
109432,1
123173,0
17864,0
185057,1
24223,1
138392,1
30376,1
58414,1
86351,1
16162,0
75246,0
168450,0
116342,1
10750,1
88716,0
88687,0
163046,1
17404,0
159797,1
56786,1
39662,0
33934,0
133635,1
112931,0
64032,0
80457,0
113580,0
190859,0
83264,1
8299,1
9909,1
156486,1
36447,0
13295,0
104513,0
136021,0
28217,1
34677,0
41200,1
159141,1
93036,1
156242,1
90746,0
58840,1
147794,0
15423,0
33869,0
23183,0
174543,0
163070,0
31812,0
189674,0
177414,1
83028,0
124176,1
185744,0
170041,0
112266,1
110653,1
39808,1
36554,1
91897,0
19155,1
117109,0
4941,0
88406,1
139688,1
26174,1
68873,1
85736,1
91049,0
64859,0
55339,0
155027,1
9148,0
174591,1
104212,0
142593,1
143978,0
28128,1
87121,0
144359,0
54744,0
62110,1
143857,0
116719,1
113486,1
148111,0
36245,0
95382,0
196739,1
114033,0
41810,0
122785,0
103503,1
195926,0
170581,1
96542,0
56080,1
55380,1
189974,1
148641,1
131560,1
138948,1
197225,0
60725,1
169667,0
176406,1
169625,0
36237,1
124148,1
104781,0
123446,1
24211,0
57592,0
128253,1
192903,1
42669,1
35810,1
112664,0
37028,1
101431,1
131871,1
152751,1
111971,1
154144,0
181343,1
11459,0
68748,1
60960,1
168969,1
9696,1
122868,1
197838,1
132559,1
96167,0
53709,0
45402,1
162617,0
185111,0
37304,0
188107,1
172979,1
164379,1
93314,1
122060,0
137237,1
4887,0
113902,1
115528,1
44406,0
49716,0
9210,1
159535,0
19158,0
82916,0
73904,0
195772,0
199018,0
74069,0
109116,0
190563,1
172730,1
11767,1
14479,1
161419,0
65186,1
58548,0
187561,0
44490,0
60529,0
85899,0
151761,1
156051,0
6711,1
189876,1
84603,1
121867,0
87802,1
126579,1
88642,1
158017,0
183483,0
21836,0
17853,0
50012,1
14637,1
152268,1
126216,1
